id,name,category,website
1,Salesforce,CRM and Sales,salesforce.com
2,HubSpot,CRM and Sales,hubspot.com
3,Pipedrive,CRM and Sales,pipedrive.com
4,Attio,CRM and Sales,attio.com
5,Twenty,CRM and Sales,twenty.com
6,Podio,CRM and Sales,podio.com
7,Zoho CRM,CRM and Sales,zoho.com/crm
8,Close,CRM and Sales,close.com
9,Copper,CRM and Sales,copper.com
10,DealCloud,CRM and Sales,api.docs.dealcloud.com
11,Zendesk,Support and Helpdesk,zendesk.com
12,Intercom,Support and Helpdesk,intercom.com
13,Freshdesk,Support and Helpdesk,freshdesk.com
14,Front,Support and Helpdesk,front.com
15,Pylon,Support and Helpdesk,usepylon.com
16,LiveAgent,Support and Helpdesk,liveagent.com
17,Plain,Support and Helpdesk,plain.com
18,Help Scout,Support and Helpdesk,helpscout.com
19,Gorgias,Support and Helpdesk,gorgias.com
20,Gladly,Support and Helpdesk,gladly.com
21,Slack,Communications and Messaging,slack.com
22,Twilio,Communications and Messaging,twilio.com
23,Zoho Cliq,Communications and Messaging,zoho.com/cliq
24,Lark,Communications and Messaging,open.larksuite.com
25,Pumble,Communications and Messaging,pumble.com
26,Discord,Communications and Messaging,discord.com
27,Telegram,Communications and Messaging,core.telegram.org
28,WhatsApp Business,Communications and Messaging,developers.facebook.com/docs/whatsapp
29,Aircall,Communications and Messaging,aircall.io
30,Vonage,Communications and Messaging,developer.vonage.com
31,Google Ads,Marketing and Social,developers.google.com/google-ads
32,Meta Ads,Marketing and Social,developers.facebook.com/docs/marketing-apis
33,LinkedIn Ads,Marketing and Social,learn.microsoft.com/linkedin/marketing
34,GoHighLevel,Marketing and Social,highlevel.stoplight.io
35,Mailchimp,Marketing and Social,mailchimp.com/developer
36,Klaviyo,Marketing and Social,developers.klaviyo.com
37,systeme.io,Marketing and Social,systeme.io
38,Pinterest,Marketing and Social,developers.pinterest.com
39,Threads,Marketing and Social,developers.facebook.com/docs/threads
40,SendGrid,Marketing and Social,sendgrid.com
41,Shopify,Ecommerce,shopify.dev
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api
43,BigCommerce,Ecommerce,developer.bigcommerce.com
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce
45,Magento,Ecommerce,developer.adobe.com/commerce
46,Squarespace,Ecommerce,developers.squarespace.com
47,Ecwid,Ecommerce,api-docs.ecwid.com
48,Gumroad,Ecommerce,gumroad.com/api
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api
50,fanbasis,Ecommerce,fanbasis.com
51,DataForSEO,Data SEO and Scraping,docs.dataforseo.com
52,SE Ranking,Data SEO and Scraping,seranking.com/api
53,Ahrefs,Data SEO and Scraping,ahrefs.com/api
54,MrScraper,Data SEO and Scraping,docs.mrscraper.com
55,Apify,Data SEO and Scraping,docs.apify.com
56,Firecrawl,Data SEO and Scraping,firecrawl.dev
57,Bright Data,Data SEO and Scraping,brightdata.com
58,Sherlock,Data SEO and Scraping,github.com/sherlock-project/sherlock
59,Waterfall.io,Data SEO and Scraping,waterfall.io
60,Clay,Data SEO and Scraping,clay.com
61,GitHub,Developer and Infra,docs.github.com/rest
62,Vercel,Developer and Infra,vercel.com/docs/rest-api
63,Netlify,Developer and Infra,docs.netlify.com/api
64,Cloudflare,Developer and Infra,developers.cloudflare.com/api
65,Supabase,Developer and Infra,supabase.com/docs
66,Neo4j,Developer and Infra,neo4j.com/docs/api
67,Snowflake,Developer and Infra,docs.snowflake.com
68,MongoDB Atlas,Developer and Infra,mongodb.com/docs/atlas/api
69,Datadog,Developer and Infra,docs.datadoghq.com/api
70,Sentry,Developer and Infra,docs.sentry.io/api
71,Notion,Productivity and PM,developers.notion.com
72,Airtable,Productivity and PM,airtable.com/developers
73,Linear,Productivity and PM,developers.linear.app
74,Jira,Productivity and PM,developer.atlassian.com
75,Asana,Productivity and PM,developers.asana.com
76,Monday.com,Productivity and PM,developer.monday.com
77,ClickUp,Productivity and PM,clickup.com/api
78,Coda,Productivity and PM,coda.io/developers
79,Smartsheet,Productivity and PM,smartsheet.com/developers
80,Harvest,Productivity and PM,help.getharvest.com/api-v2
81,Stripe,Finance and Fintech,stripe.com/docs/api
82,Plaid,Finance and Fintech,plaid.com/docs
83,Binance,Finance and Fintech,binance-docs.github.io
84,Paygent Connect,Finance and Fintech,paygent.com
85,iPayX,Finance and Fintech,ipayx.ai/docs
86,QuickBooks,Finance and Fintech,developer.intuit.com
87,Xero,Finance and Fintech,developer.xero.com
88,Brex,Finance and Fintech,developer.brex.com
89,Ramp,Finance and Fintech,docs.ramp.com
90,PitchBook,Finance and Fintech,pitchbook.com
91,NotebookLM,AI Research and Media,cloud.google.com/gemini
92,Otter AI,AI Research and Media,help.otter.ai
93,Fathom,AI Research and Media,fathom.video
94,Consensus,AI Research and Media,consensus.app
95,Reducto,AI Research and Media,reducto.ai
96,Devin,AI Research and Media,docs.devin.ai
97,higgsfield,AI Research and Media,higgsfield.ai
98,Mermaid CLI,AI Research and Media,github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,AI Research and Media,transcriptapi.com
100,Grain,AI Research and Media,grain.com
