App Name,Category,Description,Auth Methods,Gating,API Type,API Breadth,MCP Availability,Buildability,Main Blocker,Status,Confidence,Evidence URLs
Salesforce,CRM,A unified set of applications powered by agentic AI and data to help every department work as one,OAUTH2,FREE_WITH_APPROVAL,REST,comprehensive,OFFICIAL,BUILD_WITH_CAVEATS,credentials require an approval or app review step,VERIFIED,0.84,https://salesforce.com; https://developer.salesforce.com/docs/commerce/commerce-api/guide/custom-api-authentication.html; https://developer.salesforce.com/docs/apis; https://developer.salesforce.com/docs
HubSpot,Customer Relationship Management,"A platform for marketing, sales, and customer service",OAUTH2,FREE_WITH_APPROVAL,REST,Comprehensive,OFFICIAL,BUILD_WITH_CAVEATS,credentials require an approval or app review step,VERIFIED,0.82,https://hubspot.com; https://academy.hubspot.com/courses/integrating-with-hubspot-foundations; https://developers.hubspot.com
Pipedrive,Sales CRM & Pipeline Management Software,"A sales pipeline CRM designed to help small businesses manage leads, track sales activities and close more deals",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://pipedrive.com; https://developers.pipedrive.com/docs/api/v1/Oauth; https://developers.pipedrive.com/docs/api/v1
Attio,CRM,"A CRM platform that builds pipeline, advances deals, and grows accounts","OAUTH2, API_KEY",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://attio.com; https://docs.attio.com/rest-api/guides/authentication; https://docs.attio.com/rest-api/overview; https://developers.attio.com
Twenty,CRM,A custom CRM platform for building and adapting enterprise CRMs,"OAUTH2, API_KEY",SELF_SERVE,BOTH,schema-per-tenant APIs with CRUD on records and schema management,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.85,https://twenty.com; https://docs.twenty.com/developers/extend/oauth; https://docs.twenty.com; https://docs.twenty.com/developers/extend/api
Podio,work management platform,"unify and automate work with no-code tools, flexible workflows and customizable business solutions",OAUTH2,SELF_SERVE,REST,complete programmable interface to all Podio functionality,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.85,https://podio.com; https://developers.podio.com/authentication; https://developers.podio.com
Zoho CRM,CRM,AI-powered sales CRM software for growth,OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://zoho.com/crm; https://www.zoho.com/crm/developer/api.html; https://developers.zoho.com
Close,Sales CRM,"A sales CRM with built-in AI sales agent for calling, emailing, texting, automation, and action","API_KEY, OAUTH2",SELF_SERVE,REST,Comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.79,https://close.com; https://developer.close.com/api/overview; https://developer.close.com/
Copper,CRM,Copper is a CRM software that helps businesses manage their entire customer journey,"OAUTH2, API_KEY",SELF_SERVE,REST,most Copper resources,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://copper.com; https://developer.copper.com/introduction/authentication.html; https://developer.copper.com/
DealCloud,CRM/Project Management,DealCloud API for custom integrations and automation,"API_KEY, TOKEN",SELF_SERVE,REST,Comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://api.docs.dealcloud.com/; https://api.docs.dealcloud.com/docs; https://api.docs.dealcloud.com/sdk/python/authentication
Zendesk,Customer Service,AI-first service platform for customer and employee service,UNKNOWN,SELF_SERVE,UNKNOWN,Comprehensive,OFFICIAL,UNKNOWN,not enough verified facts to decide,RESEARCHED,0.81,https://zendesk.com; https://support.zendesk.com/hc/en-us/articles/4408831452954-How-can-I-authenticate-API-requests
Intercom,customer service platform,AI-powered customer service platform,"OAUTH2, ACCESS_TOKEN",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://intercom.com; https://developers.intercom.com/docs/build-an-integration/learn-more/authentication; https://developers.intercom.com/docs/references/rest-api/api.intercom.io; https://developers.intercom.com
Freshdesk,Customer Service,AI-powered customer service platform,"API_KEY, OAUTH2",SELF_SERVE,REST,Comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.83,https://freshdesk.com; https://developers.freshdesk.com/api/
Front,Customer Service Platform,"A customer service platform that brings teams, conversations, and AI into one coordinated system, so customer operations stay fast, accurate, and in control.","API_KEY, JWT",SELF_SERVE,REST,dramatically improve the quality and...,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.79,https://front.com; https://help.front.com/en/categories/326
Pylon,B2B support platform,Collaborative customer support platform using AI and human agents,Bearer,UNKNOWN,REST,"Comprehensive, with multiple endpoints and features",OFFICIAL,UNKNOWN,not enough verified facts to decide,UNRESOLVED,0.56,https://usepylon.com; https://docs.usepylon.com/pylon-docs/developer/api/authentication
LiveAgent,Help Desk Software & Live Chat,"Deliver seamless support with AI-powered help desk LiveAgent combines an all-in-one customer service platform with AI chatbot, live chat, ticketing, and call center.",API_KEY,SELF_SERVE,REST,"seamless software communication, supporting actions like company retrieval and conversation creation",OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.98,https://www.liveagent.com; https://support.liveagent.com/docs/api/v3/; https://www.liveagent.com/
